12440|"628550"|"279244"|"37761107"
595|"628550"|"279245"|"37761108"
436|"628550"|"279246"|"37761109"
65|"628550"|"279232"|"37761101"
130|"628550"|"279231"|"37761100"
599|"628550"|"279230"|"37761099"
1397|"628550"|"279229"|"37761098"
101|"628550"|"279227"|"37761096"
530|"628550"|"279226"|"37761095"
29|"628550"|"279222"|"37761129"
725|"628550"|"279221"|"37761128"
192|"628550"|"279220"|"37761127"
130|"628550"|"279219"|"37761126"
3648|"628550"|"279218"|"37761094"
2147|"628550"|"279217"|"37761093"
|"628552"|"279282"|"37760986"
4141|"628551"|"279282"|"37761055"
4141|"628550"|"279282"|"37761124"
|"628552"|"279278"|"37761010"
2248|"628551"|"279278"|"37761079"
2248|"628550"|"279278"|"37761148"
|"628552"|"279266"|"37761015"
1145|"628551"|"279266"|"37761084"
1145|"628550"|"279266"|"37761153"
|"628552"|"279262"|"37761007"
76|"628551"|"279262"|"37761076"
76|"628550"|"279262"|"37761145"
|"628552"|"279256"|"37761001"
1871|"628551"|"279256"|"37761070"
1871|"628550"|"279256"|"37761139"
|"628552"|"279255"|"37760980"
379|"628551"|"279255"|"37761049"
379|"628550"|"279255"|"37761118"
|"628552"|"279254"|"37760979"
4460|"628551"|"279254"|"37761048"
4460|"628550"|"279254"|"37761117"
|"628552"|"279251"|"37760976"
109|"628551"|"279251"|"37761045"
109|"628550"|"279251"|"37761114"
|"628552"|"279250"|"37760975"
874|"628551"|"279250"|"37761044"
874|"628550"|"279250"|"37761113"
|"628552"|"279246"|"37760971"
436|"628551"|"279246"|"37761040"
|"628552"|"279245"|"37760970"
595|"628551"|"279245"|"37761039"
|"628552"|"279244"|"37760969"
12440|"628551"|"279244"|"37761038"
|"628552"|"279232"|"37760963"
65|"628551"|"279232"|"37761032"
|"628552"|"279231"|"37760962"
130|"628551"|"279231"|"37761031"
|"628552"|"279230"|"37760961"
599|"628551"|"279230"|"37761030"
|"628552"|"279229"|"37760960"
1397|"628551"|"279229"|"37761029"
|"628552"|"279227"|"37760958"
101|"628551"|"279227"|"37761027"
|"628552"|"279226"|"37760957"
530|"628551"|"279226"|"37761026"
|"628552"|"279222"|"37760991"
29|"628551"|"279222"|"37761060"
|"628552"|"279221"|"37760990"
725|"628551"|"279221"|"37761059"
|"628552"|"279220"|"37760989"
192|"628551"|"279220"|"37761058"
|"628552"|"279219"|"37760988"
130|"628551"|"279219"|"37761057"
|"628552"|"279218"|"37760956"
3648|"628551"|"279218"|"37761025"
|"628552"|"279217"|"37760955"
2147|"628551"|"279217"|"37761024"
