"Channery"|"171263624"|"50965158"
"Channery"|"171263625"|"50965160"
"Very channery"|"171263626"|"50965162"
"Gravelly"|"171263633"|"50965164"
"Gravelly"|"171263634"|"50965166"
"Gravelly"|"171263635"|"50965168"
"Gravelly"|"171263643"|"50965171"
"Gravelly"|"171263644"|"50965172"
"Gravelly"|"171263645"|"50965174"
"Very gravelly"|"171263646"|"50965176"
"Gravelly"|"171263650"|"50965178"
"Gravelly"|"171263652"|"50965180"
"Very gravelly"|"171263653"|"50965182"
"Very channery"|"171263656"|"50965185"
"Channery"|"171263657"|"50965186"
"Channery"|"171263658"|"50965188"
"Very channery"|"171263659"|"50965190"
"Gravelly"|"171263664"|"50965193"
"Gravelly"|"171263665"|"50965195"
"Gravelly"|"171263666"|"50965196"
"Gravelly"|"171263674"|"50965198"
"Gravelly"|"171263675"|"50965200"
"Gravelly"|"171263676"|"50965203"
"Very gravelly"|"171263677"|"50965205"
"Gravelly"|"171263684"|"50965212"
"Gravelly"|"171263679"|"50965207"
"Very gravelly"|"171263680"|"50965209"
"Very channery"|"171263687"|"50965214"
"Channery"|"171263688"|"50965216"
"Channery"|"171263689"|"50965218"
"Very channery"|"171263690"|"50965220"
"Gravelly"|"171263695"|"50965222"
"Gravelly"|"171263696"|"50965224"
"Gravelly"|"171263697"|"50965226"
"Gravelly"|"171263705"|"50965228"
"Gravelly"|"171263706"|"50965230"
"Gravelly"|"171263707"|"50965232"
"Very gravelly"|"171263708"|"50965233"
"Gravelly"|"171263715"|"50965240"
"Gravelly"|"171263710"|"50965235"
"Very gravelly"|"171263711"|"50965237"
"Very channery"|"171263717"|"50965242"
"Channery"|"171263718"|"50965244"
"Channery"|"171263719"|"50965246"
"Very channery"|"171263720"|"50965248"
"Very gravelly"|"171263883"|"50965371"
"Very gravelly"|"171263884"|"50965374"
"Very gravelly"|"171263879"|"50965364"
"Very gravelly"|"171263880"|"50965366"
"Very gravelly"|"171263881"|"50965367"
"Very gravelly"|"171263882"|"50965370"
"Very gravelly"|"171263962"|"50965403"
"Very gravelly"|"171263963"|"50965404"
"Very gravelly"|"171263958"|"50965399"
"Very gravelly"|"171263959"|"50965400"
"Very gravelly"|"171263960"|"50965401"
"Very gravelly"|"171263961"|"50965402"
"Very gravelly"|"171263984"|"50965409"
"Very gravelly"|"171263985"|"50965410"
"Very gravelly"|"171263980"|"50965405"
"Very gravelly"|"171263981"|"50965406"
"Very gravelly"|"171263982"|"50965407"
"Very gravelly"|"171263983"|"50965408"
"Gravelly"|"171264047"|"50965423"
"Gravelly"|"171264049"|"50965424"
"Gravelly"|"171264050"|"50965425"
"Very gravelly"|"171264051"|"50965426"
"Gravelly"|"171264055"|"50965427"
"Gravelly"|"171264056"|"50965428"
"Gravelly"|"171264057"|"50965429"
"Very channery"|"171264060"|"50965430"
"Channery"|"171264061"|"50965431"
"Channery"|"171264062"|"50965432"
"Very channery"|"171264063"|"50965433"
"Gravelly"|"171264067"|"50965434"
"Gravelly"|"171264070"|"50965435"
"Very gravelly"|"171264072"|"50965436"
"Gravelly"|"171264080"|"50965440"
"Gravelly"|"171264075"|"50965437"
"Gravelly"|"171264076"|"50965438"
"Very gravelly"|"171264077"|"50965439"
"Gravelly"|"171264087"|"50965443"
"Gravelly"|"171264081"|"50965441"
"Gravelly"|"171264082"|"50965442"
"Very channery"|"171264089"|"50965444"
"Channery"|"171264090"|"50965445"
"Channery"|"171264091"|"50965446"
"Very channery"|"171264092"|"50965447"
"Gravelly"|"171264096"|"50965448"
"Gravelly"|"171264099"|"50965449"
"Very gravelly"|"171264101"|"50965450"
"Gravelly"|"171264656"|"50965683"
"Gravelly"|"171264657"|"50965684"
"Gravelly"|"171264658"|"50965685"
"Very gravelly"|"171264659"|"50965686"
"Gravelly"|"171264663"|"50965687"
"Gravelly"|"171264664"|"50965688"
"Gravelly"|"171264665"|"50965689"
"Very channery"|"171264669"|"50965690"
"Channery"|"171264670"|"50965691"
"Channery"|"171264671"|"50965692"
"Very channery"|"171264672"|"50965693"
"Gravelly"|"171264675"|"50965694"
"Gravelly"|"171264678"|"50965695"
"Very gravelly"|"171264680"|"50965696"
"Very gravelly"|"171264812"|"50965745"
"Very gravelly"|"171264813"|"50965746"
"Very gravelly"|"171264808"|"50965741"
"Very gravelly"|"171264809"|"50965742"
"Very gravelly"|"171264810"|"50965743"
"Very gravelly"|"171264811"|"50965744"
"Gravelly"|"171265090"|"50965841"
"Gravelly"|"171265091"|"50965842"
"Gravelly"|"171265093"|"50965843"
"Gravelly"|"171265094"|"50965844"
"Very gravelly"|"171265097"|"50965845"
"Gravelly"|"171265098"|"50965846"
"Gravelly"|"171265103"|"50965849"
"Gravelly"|"171265105"|"50965850"
"Gravelly"|"171265108"|"50965851"
"Gravelly"|"171265109"|"50965852"
"Gravelly"|"171265100"|"50965847"
"Gravelly"|"171265101"|"50965848"
"Gravelly"|"171265111"|"50965853"
"Gravelly"|"171265114"|"50965854"
"Gravelly"|"171265115"|"50965855"
"Gravelly"|"171265118"|"50965856"
"Gravelly"|"171265121"|"50965857"
"Gravelly"|"171265122"|"50965858"
"Gravelly"|"171265129"|"50965862"
"Gravelly"|"171265130"|"50965863"
"Gravelly"|"171265132"|"50965864"
"Gravelly"|"171265136"|"50965865"
"Gravelly"|"171265137"|"50965866"
"Gravelly"|"171265138"|"50965867"
"Gravelly"|"171265125"|"50965859"
"Gravelly"|"171265126"|"50965860"
"Gravelly"|"171265128"|"50965861"
"Gravelly"|"171265143"|"50965868"
"Gravelly"|"171265144"|"50965869"
"Gravelly"|"171265145"|"50965870"
"Gravelly"|"171265148"|"50965871"
"Gravelly"|"171265149"|"50965872"
"Gravelly"|"171265152"|"50965873"
"Gravelly"|"171265154"|"50965874"
"Gravelly"|"171265155"|"50965875"
"Gravelly"|"171265157"|"50965876"
"Gravelly"|"171265162"|"50965877"
"Gravelly"|"171265164"|"50965878"
"Gravelly"|"171265165"|"50965879"
