"Silt loam"||"168429479"|"171263442"
"Silt loam"||"168429486"|"171263436"
"Loam"||"168429488"|"171263437"
"Fine sandy loam"||"168429489"|"171263438"
"Fine sandy loam"||"168429481"|"171263439"
"Loam"||"168429483"|"171263440"
"Silt loam"||"168429485"|"171263441"
"Silt loam"||"168429478"|"171263443"
"Silt loam"||"168429471"|"171263444"
"Loam"||"168429473"|"171263445"
"Fine sandy loam"||"168429476"|"171263446"
"Loam"||"168429465"|"171263447"
"Silt loam"||"168429468"|"171263448"
"Fine sandy loam"||"168429469"|"171263449"
"Silt loam"||"168429463"|"171263450"
"Loam"||"168429457"|"171263451"
"Silt loam"||"168429459"|"171263452"
"Fine sandy loam"||"168429461"|"171263453"
"Silt loam"||"168429451"|"171263454"
"Loam"||"168429453"|"171263455"
"Fine sandy loam"||"168429455"|"171263456"
|"Unweathered bedrock"|"168429439"|"171263462"
"Silt loam"||"168429449"|"171263457"
"Loam"||"168429442"|"171263458"
"Loam"||"168429444"|"171263459"
"Silty clay loam"||"168429446"|"171263460"
"Silt loam"||"168429448"|"171263461"
"Silt loam"||"168429438"|"171263463"
"Silt loam"||"168429429"|"171263464"
"Loam"||"168429431"|"171263465"
"Silty clay loam"||"168429434"|"171263466"
"Loam"||"168429435"|"171263467"
"Loam"||"168429421"|"171263468"
"Silty clay loam"||"168429424"|"171263469"
"Fine sandy loam"||"168429426"|"171263470"
"Fine sandy loam"||"168429427"|"171263471"
"Silt loam"||"168429419"|"171263472"
"Silt loam"||"168429413"|"171263473"
"Loam"||"168429415"|"171263474"
"Fine sandy loam"||"168429418"|"171263475"
"Fine sandy loam"||"168429407"|"171263476"
"Loam"||"168429410"|"171263477"
"Silt loam"||"168429411"|"171263478"
"Silt loam"||"168429405"|"171263479"
"Silt loam"||"168429400"|"171263480"
"Loam"||"168429402"|"171263481"
"Fine sandy loam"||"168429403"|"171263482"
"Loam"||"168429393"|"171263483"
"Silt loam"||"168429396"|"171263484"
"Fine sandy loam"||"168429397"|"171263485"
"Silt loam"||"168429392"|"171263486"
"Loam"||"168429386"|"171263487"
"Silt loam"||"168429387"|"171263488"
"Fine sandy loam"||"168429390"|"171263489"
"Silt loam"||"168429379"|"171263490"
"Loam"||"168429382"|"171263491"
"Fine sandy loam"||"168429384"|"171263492"
|"Unweathered bedrock"|"168429368"|"171263498"
"Silt loam"||"168429377"|"171263493"
"Loam"||"168429370"|"171263494"
"Loam"||"168429371"|"171263495"
"Silty clay loam"||"168429373"|"171263496"
"Silt loam"||"168429375"|"171263497"
"Silt loam"||"168429367"|"171263499"
"Silt loam"||"168429361"|"171263500"
