"2"|"27658503"|"6253156"
"3"|"27658503"|"6253157"
"2"|"27658508"|"6253158"
"3"|"27658508"|"6253159"
"2"|"27658644"|"6253198"
"3"|"27658644"|"6253199"
"2"|"27658649"|"6253200"
"3"|"27658649"|"6253201"
"2"|"27658654"|"6253202"
"3"|"27658654"|"6253203"
"2"|"27658659"|"6253204"
"3"|"27658659"|"6253205"
"2"|"27658510"|"6253160"
"2"|"27658515"|"6253161"
"2"|"27658526"|"6253163"
"2"|"27658532"|"6253164"
"2"|"27658538"|"6253165"
"2"|"27658544"|"6253166"
"2"|"27658571"|"6253175"
"2"|"27658572"|"6253176"
"2"|"27658574"|"6253177"
"2"|"27658575"|"6253178"
"2"|"27658580"|"6253179"
"2"|"27658606"|"6253185"
"3"|"27658606"|"6253186"
"2"|"27658610"|"6253187"
"3"|"27658610"|"6253188"
"2"|"27658706"|"6253217"
"3"|"27658706"|"6253218"
"2"|"27658740"|"6253233"
"2"|"27658743"|"6253234"
"2"|"27658744"|"6253235"
"3"|"27658744"|"6253236"
