0|3|14||2|4|5||||"82717869"|"142500765"
0|6|11||5|40|75||||"82717869"|"142500766"
0|2|3||75|162|250||||"82717869"|"142500767"
0|0|1||250|625|1000||||"82717869"|"142500768"
0|3|26||2|4|5||||"82717867"|"142500757"
3|6|26||5|40|75||||"82717867"|"142500758"
0|2|3||75|162|250||||"82717867"|"142500759"
0|1|1||250|625|1000||||"82717867"|"142500760"
0|2|17||2|4|5||||"82717868"|"142500761"
9|9|26||5|40|75||||"82717868"|"142500762"
0|2|9||75|162|250||||"82717868"|"142500763"
0|1|1||250|625|1000||||"82717868"|"142500764"
0|3|11||2|4|5||||"82717870"|"142500769"
3|7|11||5|40|75||||"82717870"|"142500770"
0|2|3||75|162|250||||"82717870"|"142500771"
0|3|23||2|4|5||||"82717871"|"142500772"
3|9|23||5|40|75||||"82717871"|"142500773"
0|2|3||75|162|250||||"82717871"|"142500774"
0|6|22||2|4|5||||"82717872"|"142500775"
13|13|32||5|40|75||||"82717872"|"142500776"
3|5|6||75|162|250||||"82717872"|"142500777"
0|3|14||2|4|5||||"82717873"|"142500778"
0|6|11||5|40|75||||"82717873"|"142500779"
0|2|3||75|162|250||||"82717873"|"142500780"
0|1|1||250|625|1000||||"82717873"|"142500781"
0|3|26||2|4|5||||"82717874"|"142500782"
3|6|26||5|40|75||||"82717874"|"142500783"
0|2|3||75|162|250||||"82717874"|"142500784"
0|1|1||250|625|1000||||"82717874"|"142500785"
0|3|34||2|4|5||||"82717875"|"142500786"
3|6|34||5|40|75||||"82717875"|"142500787"
0|2|3||75|162|250||||"82717875"|"142500788"
0|1|1||250|625|1000||||"82717875"|"142500789"
0|3|8||2|4|5||||"82717876"|"142500790"
0|3|5||5|40|75||||"82717876"|"142500791"
3|6|11||75|162|250||||"82717876"|"142500792"
0|1|1||250|625|1000||||"82717876"|"142500793"
0|12|24||2|4|5||||"82717877"|"142500794"
4|17|29||5|40|75||||"82717877"|"142500795"
9|19|28||75|162|250||||"82717877"|"142500796"
0|2|3||250|625|1000||||"82717877"|"142500797"
0|7|14||2|4|5||||"82717879"|"142500798"
0|6|11||5|40|75||||"82717879"|"142500799"
0|6|23||2|4|5||||"82717880"|"142500800"
3|6|23||5|40|75||||"82717880"|"142500801"
0|2|3||75|162|250||||"82717880"|"142500802"
0|3|35||2|4|5||||"82717881"|"142500803"
3|6|35||5|40|75||||"82717881"|"142500804"
3|3|6||75|162|250||||"82717881"|"142500805"
0|3|14||2|4|5||||"82717882"|"142500806"
0|6|11||5|40|75||||"82717882"|"142500807"
0|2|3||75|162|250||||"82717882"|"142500808"
0|0|1||250|625|1000||||"82717882"|"142500809"
0|3|26||2|4|5||||"82717883"|"142500810"
3|6|26||5|40|75||||"82717883"|"142500811"
0|2|3||75|162|250||||"82717883"|"142500812"
0|1|1||250|625|1000||||"82717883"|"142500813"
0|2|17||2|4|5||||"82717884"|"142500814"
9|9|26||5|40|75||||"82717884"|"142500815"
0|2|9||75|162|250||||"82717884"|"142500816"
0|1|1||250|625|1000||||"82717884"|"142500817"
0|3|11||2|4|5||||"82717885"|"142500818"
3|7|11||5|40|75||||"82717885"|"142500819"
0|2|3||75|162|250||||"82717885"|"142500820"
0|3|23||2|4|5||||"82717886"|"142500821"
3|9|23||5|40|75||||"82717886"|"142500822"
