|"Interfluve"|||"44802402"|"17866661"
|"Side Slope"|||"44802402"|"17866662"
|"Interfluve"|||"44802406"|"17866663"
|"Side Slope"|||"44802406"|"17866664"
|"Interfluve"|||"44802514"|"17866680"
|"Side Slope"|||"44802514"|"17866681"
|"Interfluve"|||"44802518"|"17866682"
|"Side Slope"|||"44802518"|"17866683"
|"Interfluve"|||"44802522"|"17866684"
|"Side Slope"|||"44802522"|"17866685"
|"Interfluve"|||"44802526"|"17866686"
|"Side Slope"|||"44802526"|"17866687"
|"Side Slope"|||"44802419"|"17866665"
|"Side Slope"|||"44802422"|"17866666"
|"Side Slope"|||"44802425"|"17866667"
||"Tread"||"44802447"|"17866670"
||"Tread"||"44802469"|"17866673"
||"Tread"||"44802472"|"17866674"
||"Tread"||"44802581"|"17866695"
|"Crest"|||"44802621"|"17866713"
|"Crest"|||"44802622"|"17866714"
|"Crest"|||"44802623"|"17866715"
|"Side Slope"|||"44802625"|"17866717"
|"Crest"|||"44802625"|"17866716"
|"Crest"|||"44802627"|"17866718"
|"Base Slope"|||"44802628"|"17866719"
|"Base Slope"|||"44802629"|"17866720"
||"Tread"||"44802631"|"17866721"
|"Crest"|||"44802632"|"17866722"
|"Crest"|||"44802633"|"17866723"
||"Tread"||"44802594"|"17866698"
