"GC"|No |"82717965"|"152955585"
"GM"|No |"82717965"|"152955586"
"ML"|Yes|"82717965"|"152955587"
"SM"|No |"82717965"|"152955588"
"CH"|No |"82717964"|"152955589"
"MH"|Yes|"82717964"|"152955590"
"CH"|No |"82717963"|"152955591"
"MH"|Yes|"82717963"|"152955592"
"MH"|Yes|"82717962"|"152955593"
"ML"|No |"82717962"|"152955594"
"SC-SM"|Yes|"82717961"|"152955599"
"GC"|No |"82717961"|"152955595"
"GM"|No |"82717961"|"152955596"
"SC"|No |"82717961"|"152955597"
"SM"|No |"82717961"|"152955598"
"CL"|No |"82717960"|"152955600"
"GC"|No |"82717960"|"152955601"
"GM"|No |"82717960"|"152955602"
"ML"|Yes|"82717960"|"152955603"
"CL-ML"|Yes|"82717959"|"152955604"
"ML"|No |"82717959"|"152955605"
"SC"|No |"82717959"|"152955606"
"SM"|No |"82717959"|"152955607"
"CL"|No |"82717955"|"152955611"
"GC"|Yes|"82717955"|"152955615"
"GM"|No |"82717955"|"152955612"
"ML"|No |"82717955"|"152955613"
"SM"|No |"82717955"|"152955614"
"CL-ML"|No |"82717957"|"152955609"
"CL"|Yes|"82717957"|"152955608"
"ML"|No |"82717957"|"152955610"
"GC-GM"|No |"82717954"|"152955616"
"SC-SM"|No |"82717954"|"152955618"
"GM"|No |"82717954"|"152955617"
"SM"|Yes|"82717954"|"152955619"
"CL-ML"|No |"82717953"|"152955620"
"GM"|No |"82717953"|"152955621"
"ML"|No |"82717953"|"152955622"
"SM"|Yes|"82717953"|"152955623"
"ML"|Yes|"82717952"|"152955624"
"SM"|No |"82717952"|"152955625"
"CL-ML"|No |"82717951"|"152955627"
"CL"|No |"82717951"|"152955626"
"GC"|No |"82717951"|"152955628"
"SC"|Yes|"82717951"|"152955629"
"CL-ML"|No |"82717950"|"152955631"
"CL"|Yes|"82717950"|"152955630"
"GC"|No |"82717950"|"152955632"
"SC"|No |"82717950"|"152955633"
"GC"|No |"82717949"|"152955634"
"GM"|No |"82717949"|"152955635"
"ML"|Yes|"82717949"|"152955636"
"SM"|No |"82717949"|"152955637"
"CH"|No |"82717948"|"152955638"
"MH"|Yes|"82717948"|"152955639"
"CH"|No |"82717947"|"152955640"
"MH"|Yes|"82717947"|"152955641"
"MH"|Yes|"82717946"|"152955642"
