||"Riser"||"44800009"|"17864595"
||"Riser"||"44800011"|"17864596"
||"Tread"||"44800046"|"17864604"
||"Tread"||"44800048"|"17864605"
||"Tread"||"44800052"|"17864606"
||"Tread"||"44800054"|"17864607"
||"Tread"||"44800171"|"17864649"
||"Tread"||"44800196"|"17864655"
||"Tread"||"44800198"|"17864656"
|"Base Slope"|||"44800227"|"17864659"
|"Base Slope"|||"44800233"|"17864661"
||"Tread"||"44800272"|"17864674"
||"Tread"||"44800276"|"17864675"
||"Tread"||"44800280"|"17864676"
||"Tread"||"44800296"|"17864679"
||"Tread"||"44800304"|"17864681"
|"Interfluve"|||"44800497"|"17864854"
|"Side Slope"|||"44800497"|"17864853"
|"Interfluve"|||"44800499"|"17864856"
|"Side Slope"|||"44800499"|"17864855"
|"Interfluve"|||"44800501"|"17864858"
|"Side Slope"|||"44800501"|"17864857"
|"Crest"|||"44800696"|"17864996"
|"Crest"|||"44800697"|"17864997"
|"Crest"|||"44800698"|"17864998"
|"Side Slope"|||"44800700"|"17865000"
|"Crest"|||"44800700"|"17864999"
|"Crest"|||"44800702"|"17865001"
|"Base Slope"|||"44800704"|"17865002"
|"Base Slope"|||"44800705"|"17865003"
||"Tread"||"44800706"|"17865004"
|"Crest"|||"44800707"|"17865005"
|"Crest"|||"44800708"|"17865006"
|"Interfluve"|||"44800710"|"17865008"
|"Side Slope"|||"44800710"|"17865007"
|"Crest"|||"44800712"|"17865009"
|"Crest"|||"44800713"|"17865010"
|"Crest"|||"44800714"|"17865011"
|"Side Slope"|||"44800716"|"17865013"
|"Crest"|||"44800716"|"17865012"
|"Crest"|||"44800718"|"17865014"
|"Base Slope"|||"44800720"|"17865015"
|"Base Slope"|||"44800721"|"17865016"
|"Interfluve"|||"44800722"|"17865018"
|"Side Slope"|||"44800722"|"17865017"
||"Tread"||"44800724"|"17865019"
|"Side Slope"|||"44800725"|"17865020"
|"Crest"|||"44800726"|"17865021"
|"Crest"|||"44800728"|"17865022"
|"Crest"|||"44800729"|"17865023"
|"Crest"|||"44800730"|"17865024"
|"Side Slope"|||"44800732"|"17865026"
|"Crest"|||"44800732"|"17865025"
|"Crest"|||"44800734"|"17865027"
|"Base Slope"|||"44800736"|"17865028"
|"Base Slope"|||"44800737"|"17865029"
|"Interfluve"|||"44800738"|"17865031"
|"Side Slope"|||"44800738"|"17865030"
|"Crest"|||"44800740"|"17865032"
||"Tread"||"44800741"|"17865033"
|"Side Slope"|||"44800742"|"17865034"
|"Crest"|||"44800744"|"17865035"
|"Crest"|||"44800745"|"17865036"
|"Crest"|||"44800746"|"17865037"
|"Side Slope"|||"44800748"|"17865039"
|"Crest"|||"44800748"|"17865038"
|"Crest"|||"44800750"|"17865040"
|"Base Slope"|||"44800752"|"17865041"
|"Base Slope"|||"44800753"|"17865042"
|"Interfluve"|||"44800754"|"17865044"
|"Side Slope"|||"44800754"|"17865043"
||"Tread"||"44800756"|"17865045"
|"Crest"|||"44800757"|"17865046"
|"Crest"|||"44800758"|"17865047"
|"Crest"|||"44800760"|"17865048"
|"Crest"|||"44800761"|"17865049"
|"Crest"|||"44800762"|"17865050"
|"Side Slope"|||"44800764"|"17865052"
|"Crest"|||"44800764"|"17865051"
|"Crest"|||"44800766"|"17865053"
|"Base Slope"|||"44800768"|"17865054"
|"Base Slope"|||"44800769"|"17865055"
|"Interfluve"|||"44800770"|"17865057"
|"Side Slope"|||"44800770"|"17865056"
||"Tread"||"44800772"|"17865058"
|"Side Slope"|||"44800773"|"17865059"
|"Crest"|||"44800774"|"17865060"
||"Tread"||"44800779"|"17865062"
||"Tread"||"44800782"|"17865063"
||"Riser"||"44800784"|"17865064"
