"p"|"82714508"|"36533231"
"w"|"82714560"|"36533257"
"p"|"82714519"|"36533237"
"p"|"82714435"|"36533195"
"w"|"82714477"|"36533216"
"w"|"82714476"|"36533215"
"w"|"82714498"|"36533228"
"w"|"82714561"|"36533258"
"d"|"82714488"|"36533220"
"w"|"82714497"|"36533227"
"p"|"82714496"|"36533226"
"w"|"82714444"|"36533201"
"w"|"82714520"|"36533238"
"w"|"82714549"|"36533253"
"p"|"82714457"|"36533204"
"p"|"82714468"|"36533212"
"d"|"82714518"|"36533236"
"d"|"82714433"|"36533193"
"d"|"82714490"|"36533222"
"p"|"82714448"|"36533203"
"p"|"82714485"|"36533218"
"w"|"82714533"|"36533244"
"p"|"82714463"|"36533209"
"w"|"82714437"|"36533197"
"w"|"82714548"|"36533252"
"w"|"82714464"|"36533210"
"d"|"82714489"|"36533221"
"w"|"82714486"|"36533219"
"d"|"82714460"|"36533206"
"w"|"82714441"|"36533199"
"p"|"82714552"|"36533254"
"w"|"82714493"|"36533225"
"w"|"82714504"|"36533229"
"d"|"82714434"|"36533194"
"p"|"82714541"|"36533246"
"w"|"82714445"|"36533202"
"w"|"82714526"|"36533242"
"p"|"82714513"|"36533232"
"d"|"82714461"|"36533207"
"p"|"82714440"|"36533198"
"d"|"82714544"|"36533248"
"d"|"82714546"|"36533250"
"p"|"82714524"|"36533240"
"w"|"82714430"|"36533191"
"d"|"82714545"|"36533249"
"p"|"82714429"|"36533190"
"d"|"82714462"|"36533208"
"w"|"82714470"|"36533214"
"p"|"82714536"|"36533245"
"w"|"82714525"|"36533241"
"p"|"82714564"|"36533259"
"w"|"82714442"|"36533200"
"d"|"82714516"|"36533234"
"w"|"82714492"|"36533224"
"w"|"82714514"|"36533233"
"w"|"82714505"|"36533230"
"w"|"82714469"|"36533213"
"d"|"82714432"|"36533192"
"p"|"82714547"|"36533251"
"w"|"82714532"|"36533243"
"w"|"82714521"|"36533239"
"w"|"82714553"|"36533255"
"w"|"82714542"|"36533247"
"w"|"82714465"|"36533211"
"p"|"82714491"|"36533223"
"w"|"82714436"|"36533196"
"w"|"82714458"|"36533205"
"p"|"82714480"|"36533217"
"d"|"82714517"|"36533235"
"w"|"82714554"|"36533256"
