3481|"628529"|"281658"|"37758292"
3314|"628530"|"281658"|"37758468"
166|"628531"|"281658"|"37758550"
3314|"628532"|"281658"|"37758627"
166|"628533"|"281658"|"37758665"
|"628534"|"281658"|"37758752"
2032|"628529"|"281667"|"37758300"
1995|"628530"|"281667"|"37758461"
37|"628531"|"281667"|"37758490"
1995|"628532"|"281667"|"37758619"
37|"628533"|"281667"|"37758671"
|"628534"|"281667"|"37758739"
1445|"628529"|"281668"|"37758301"
1424|"628530"|"281668"|"37758460"
21|"628531"|"281668"|"37758546"
1424|"628532"|"281668"|"37758618"
21|"628533"|"281668"|"37758672"
|"628534"|"281668"|"37758758"
9545|"628529"|"281682"|"37758315"
9545|"628530"|"281682"|"37758447"
9545|"628532"|"281682"|"37758659"
|"628534"|"281682"|"37758772"
3051|"628529"|"281687"|"37758319"
2983|"628530"|"281687"|"37758443"
67|"628531"|"281687"|"37758531"
2983|"628532"|"281687"|"37758602"
67|"628533"|"281687"|"37758688"
|"628534"|"281687"|"37758776"
8819|"628529"|"281689"|"37758321"
8819|"628530"|"281689"|"37758441"
8819|"628532"|"281689"|"37758657"
|"628534"|"281689"|"37758778"
9129|"628529"|"281690"|"37758322"
9129|"628530"|"281690"|"37758440"
9129|"628532"|"281690"|"37758656"
|"628534"|"281690"|"37758779"
1355|"628529"|"281691"|"37758323"
1355|"628530"|"281691"|"37758439"
1355|"628532"|"281691"|"37758655"
|"628534"|"281691"|"37758780"
131|"628529"|"281693"|"37758325"
131|"628530"|"281693"|"37758437"
131|"628532"|"281693"|"37758653"
|"628534"|"281693"|"37758782"
1285|"628529"|"281696"|"37758328"
1285|"628530"|"281696"|"37758435"
1285|"628532"|"281696"|"37758651"
|"628534"|"281696"|"37758785"
803|"628529"|"281698"|"37758330"
803|"628530"|"281698"|"37758433"
803|"628532"|"281698"|"37758649"
|"628534"|"281698"|"37758787"
1194|"628529"|"281711"|"37758343"
1171|"628530"|"281711"|"37758420"
23|"628531"|"281711"|"37758524"
1171|"628532"|"281711"|"37758593"
23|"628533"|"281711"|"37758697"
|"628534"|"281711"|"37758799"
1039|"628529"|"281712"|"37758344"
1017|"628530"|"281712"|"37758419"
22|"628531"|"281712"|"37758523"
1017|"628532"|"281712"|"37758592"
22|"628533"|"281712"|"37758698"
|"628534"|"281712"|"37758800"
396|"628529"|"281713"|"37758345"
380|"628530"|"281713"|"37758418"
16|"628531"|"281713"|"37758486"
380|"628532"|"281713"|"37758591"
16|"628533"|"281713"|"37758699"
|"628534"|"281713"|"37758741"
5555|"628529"|"281716"|"37758348"
4986|"628530"|"281716"|"37758415"
569|"628531"|"281716"|"37758485"
4986|"628532"|"281716"|"37758588"
569|"628533"|"281716"|"37758662"
|"628534"|"281716"|"37758803"
2832|"628529"|"281718"|"37758350"
2794|"628530"|"281718"|"37758413"
38|"628531"|"281718"|"37758484"
2794|"628532"|"281718"|"37758586"
38|"628533"|"281718"|"37758703"
|"628534"|"281718"|"37758742"
233|"628529"|"281730"|"37758361"
233|"628530"|"281730"|"37758402"
233|"628532"|"281730"|"37758642"
|"628534"|"281730"|"37758814"
1756|"628529"|"281736"|"37758367"
1756|"628530"|"281736"|"37758288"
1756|"628532"|"281736"|"37758641"
|"628534"|"281736"|"37758820"
785|"628529"|"281737"|"37758368"
785|"628530"|"281737"|"37758287"
785|"628532"|"281737"|"37758640"
|"628534"|"281737"|"37758821"
640|"628529"|"281738"|"37758369"
640|"628530"|"281738"|"37758286"
640|"628532"|"281738"|"37758639"
|"628534"|"281738"|"37758822"
2325|"628529"|"281755"|"37758386"
2325|"628530"|"281755"|"37758270"
2325|"628532"|"281755"|"37758636"
|"628534"|"281755"|"37758834"
1255|"628529"|"281756"|"37758387"
1251|"628530"|"281756"|"37758269"
4|"628531"|"281756"|"37758499"
1251|"628532"|"281756"|"37758557"
4|"628533"|"281756"|"37758732"
|"628534"|"281756"|"37758835"
458|"628529"|"281757"|"37758388"
458|"628530"|"281757"|"37758268"
458|"628532"|"281757"|"37758635"
|"628534"|"281757"|"37758836"
1013|"628529"|"281758"|"37758389"
1013|"628530"|"281758"|"37758267"
1013|"628532"|"281758"|"37758634"
|"628534"|"281758"|"37758837"
843|"628529"|"281759"|"37758390"
843|"628530"|"281759"|"37758266"
843|"628532"|"281759"|"37758633"
|"628534"|"281759"|"37758838"
13404|"628529"|"281761"|"37758392"
13404|"628530"|"281761"|"37758264"
13404|"628532"|"281761"|"37758632"
|"628534"|"281761"|"37758840"
3174|"628529"|"281762"|"37758393"
3174|"628530"|"281762"|"37758263"
3174|"628532"|"281762"|"37758552"
|"628534"|"281762"|"37758749"
1479|"628529"|"281763"|"37758394"
1479|"628530"|"281763"|"37758262"
1479|"628532"|"281763"|"37758631"
|"628534"|"281763"|"37758841"
