"Silty clay"||"168400738"|"171242225"
"Loam"||"168403198"|"171244685"
"Loam"||"168401895"|"171243382"
"Loam"||"168403185"|"171244672"
"Loam"||"168399860"|"171241347"
"Silt loam"||"168402987"|"171244474"
"Clay"||"168400749"|"171242236"
"Loamy fine sand"||"168398838"|"171240392"
"Loam"||"168403375"|"171244862"
"Fine sandy loam"||"168403133"|"171244620"
"Fine sandy loam"||"168403301"|"171244788"
"Fine sandy loam"||"168402900"|"171244387"
"Fine sandy loam"||"168403144"|"171244631"
"Loam"||"168402867"|"171244354"
"Fine sandy loam"||"168402937"|"171244424"
"Fine sandy loam"||"168400162"|"171241649"
"Silt loam"||"168401921"|"171243408"
"Fine sandy loam"||"168402966"|"171244453"
"Loam"||"168400059"|"171241546"
"Silty clay"||"168399641"|"171241128"
"Loam"||"168403156"|"171244643"
"Loam"||"168402948"|"171244435"
"Loam"||"168403314"|"171244801"
"Fine sandy loam"||"168403386"|"171244873"
"Loam"||"168402834"|"171244321"
"Sandy loam"||"168400058"|"171241545"
"Silt loam"||"168400080"|"171241567"
"Sand"||"168399367"|"171240221"
"Sandy loam"||"168403008"|"171244495"
"Loamy fine sand"||"168400527"|"171242014"
"Fine sandy loam"||"168400043"|"171241530"
"Silt loam"||"168398850"|"171240378"
"Sandy loam"||"168403248"|"171244735"
"Silt loam"||"168401877"|"171243364"
"Clay"||"168403430"|"171244917"
"Sandy loam"||"168403240"|"171244727"
"Fine sandy loam"||"168403154"|"171244641"
"Silt loam"||"168403029"|"171244516"
"Silt loam"||"168398840"|"171240391"
"Sandy loam"||"168402926"|"171244413"
"Clay"||"168403414"|"171244901"
"Fine sandy loam"||"168403364"|"171244851"
"Silt loam"||"168399873"|"171241360"
"Loam"||"168403145"|"171244632"
"Loam"||"168400032"|"171241519"
"Coarse sand"||"168399821"|"171241308"
"Loamy fine sand"||"168400518"|"171242005"
"Loam"||"168403373"|"171244860"
"Fine sandy loam"||"168399948"|"171241435"
"Loam"||"168402959"|"171244446"
