"SM"|No |"82713358"|"152936288"
"SM"|Yes|"82713356"|"152936286"
"SM"|Yes|"82713355"|"152936285"
"SM"|Yes|"82713354"|"152936284"
"GM"|No |"82713350"|"152936280"
"ML"|No |"82713350"|"152936281"
"SM"|Yes|"82713350"|"152936282"
"GM"|Yes|"82713351"|"152936283"
"ML"|Yes|"82713349"|"152936278"
"SM"|No |"82713349"|"152936279"
"GM"|No |"82713346"|"152936271"
"ML"|Yes|"82713346"|"152936272"
"SM"|No |"82713346"|"152936273"
"CL-ML"|No |"82713347"|"152936274"
"GC-GM"|No |"82713347"|"152936275"
"GM"|No |"82713347"|"152936276"
"ML"|Yes|"82713347"|"152936277"
"CL-ML"|No |"82713344"|"152936268"
"CL"|No |"82713344"|"152936267"
"ML"|Yes|"82713344"|"152936269"
"SM"|No |"82713344"|"152936270"
"CL"|No |"82713342"|"152936264"
"ML"|No |"82713342"|"152936265"
"SM"|Yes|"82713342"|"152936266"
"CL-ML"|No |"82713341"|"152936262"
"CL"|Yes|"82713341"|"152936261"
"ML"|No |"82713341"|"152936263"
"GC"|No |"82713339"|"152936258"
"GM"|No |"82713339"|"152936259"
"ML"|Yes|"82713339"|"152936260"
"ML"|Yes|"82713338"|"152936256"
"SM"|No |"82713338"|"152936257"
"CH"|No |"82713325"|"152936230"
"CL"|Yes|"82713325"|"152936231"
"SC-SM"|Yes|"82713323"|"152936226"
"ML"|No |"82713323"|"152936225"
"SM"|No |"82713323"|"152936227"
"ML"|No |"82713324"|"152936228"
"SM"|Yes|"82713324"|"152936229"
"CL-ML"|Yes|"82713322"|"152936223"
"CL"|No |"82713322"|"152936222"
"ML"|No |"82713322"|"152936224"
"SM"|Yes|"82713320"|"152936220"
"SM"|Yes|"82713321"|"152936221"
"ML"|No |"82713318"|"152936216"
"SM"|Yes|"82713318"|"152936217"
"ML"|No |"82713317"|"152936214"
"SM"|Yes|"82713317"|"152936215"
"CH"|No |"82713319"|"152936218"
"CL"|Yes|"82713319"|"152936219"
"CL-ML"|Yes|"82713316"|"152936212"
"ML"|No |"82713316"|"152936213"
"CL-ML"|Yes|"82713315"|"152936210"
"ML"|No |"82713315"|"152936211"
"CL-ML"|No |"82713314"|"152936208"
"ML"|Yes|"82713314"|"152936209"
"MH"|Yes|"82713253"|"152936043"
"MH"|Yes|"82713252"|"152936042"
"MH"|No |"82713251"|"152936040"
"OH"|Yes|"82713251"|"152936041"
"CH"|Yes|"82713250"|"152936038"
"MH"|No |"82713250"|"152936039"
"CH"|Yes|"82713249"|"152936036"
"MH"|No |"82713249"|"152936037"
"MH"|Yes|"82713248"|"152936035"
"CL-ML"|No |"82713034"|"152935264"
"SC-SM"|No |"82713034"|"152935266"
"ML"|Yes|"82713034"|"152935265"
"SM"|No |"82713034"|"152935267"
"SP-SM"|No |"82713033"|"152935269"
"SM"|Yes|"82713033"|"152935268"
"SM"|Yes|"82713032"|"152935270"
"CL-ML"|No |"82713030"|"152935273"
"ML"|Yes|"82713030"|"152935274"
"CL-ML"|No |"82713031"|"152935271"
"ML"|Yes|"82713031"|"152935272"
"ML"|Yes|"82713029"|"152935275"
"CL-ML"|Yes|"82713028"|"152935276"
"ML"|No |"82713028"|"152935277"
"CL-ML"|Yes|"82713027"|"152935278"
"ML"|No |"82713027"|"152935279"
"CL-ML"|No |"82713026"|"152935280"
"ML"|Yes|"82713026"|"152935281"
"CL-ML"|Yes|"82713025"|"152935283"
"CL"|No |"82713025"|"152935282"
"ML"|No |"82713025"|"152935284"
"SM"|Yes|"82713023"|"152935286"
"SM"|Yes|"82713024"|"152935285"
"CL-ML"|No |"82713020"|"152935291"
"SC-SM"|No |"82713020"|"152935293"
"ML"|Yes|"82713020"|"152935292"
"SM"|No |"82713020"|"152935290"
"SP-SM"|No |"82713022"|"152935288"
"SM"|Yes|"82713022"|"152935287"
"SM"|Yes|"82713021"|"152935289"
"CL-ML"|No |"82713019"|"152935294"
"ML"|Yes|"82713019"|"152935295"
"CL-ML"|No |"82713018"|"152935296"
"ML"|Yes|"82713018"|"152935297"
"ML"|Yes|"82713017"|"152935298"
"CL-ML"|Yes|"82713014"|"152935303"
"ML"|No |"82713014"|"152935304"
"CL-ML"|Yes|"82713016"|"152935299"
"ML"|No |"82713016"|"152935300"
"CL-ML"|No |"82713015"|"152935301"
